ItemCode,ItemName,Category,BranchCode,BranchName,SellingQuantity,CostPrice,SalePrice,Profit,SaleDate,CreatedDateTime,PromotionApplied,StockAvailable,PreviousMonthSales,Year,Month,Quarter,DayOfWeek,IsWeekend,IsWinter
MED001,Synthetic Vitamin C,Wellness,BR001,Synthetic Branch A,96,4.0,7.5,336.0,2023-01-01,2023-01-01T09:00:00,1,110,79,2023,1,1,6,1,1
MED001,Synthetic Vitamin C,Wellness,BR002,Synthetic Branch B,111,4.1,7.6,388.5,2023-01-01,2023-01-01T09:00:00,1,124,91,2023,1,1,6,1,1
MED002,Synthetic Saline Solution,Care,BR001,Synthetic Branch A,138,4.75,8.75,552.0,2023-01-01,2023-01-01T09:00:00,1,152,121,2023,1,1,6,1,1
MED002,Synthetic Saline Solution,Care,BR002,Synthetic Branch B,153,4.85,8.85,612.0,2023-01-01,2023-01-01T09:00:00,1,166,133,2023,1,1,6,1,1
MED001,Synthetic Vitamin C,Wellness,BR001,Synthetic Branch A,88,4.0,7.5,308.0,2023-02-01,2023-02-01T09:00:00,0,102,96,2023,2,1,2,0,1
MED001,Synthetic Vitamin C,Wellness,BR002,Synthetic Branch B,103,4.1,7.6,360.5,2023-02-01,2023-02-01T09:00:00,0,116,111,2023,2,1,2,0,1
MED002,Synthetic Saline Solution,Care,BR001,Synthetic Branch A,125,4.75,8.75,500.0,2023-02-01,2023-02-01T09:00:00,0,139,138,2023,2,1,2,0,1
MED002,Synthetic Saline Solution,Care,BR002,Synthetic Branch B,140,4.85,8.85,560.0,2023-02-01,2023-02-01T09:00:00,0,153,153,2023,2,1,2,0,1
MED001,Synthetic Vitamin C,Wellness,BR001,Synthetic Branch A,90,4.0,7.5,315.0,2023-03-01,2023-03-01T09:00:00,0,104,88,2023,3,1,2,0,0
MED001,Synthetic Vitamin C,Wellness,BR002,Synthetic Branch B,105,4.1,7.6,367.5,2023-03-01,2023-03-01T09:00:00,0,118,103,2023,3,1,2,0,0
MED002,Synthetic Saline Solution,Care,BR001,Synthetic Branch A,123,4.75,8.75,492.0,2023-03-01,2023-03-01T09:00:00,0,137,125,2023,3,1,2,0,0
MED002,Synthetic Saline Solution,Care,BR002,Synthetic Branch B,138,4.85,8.85,552.0,2023-03-01,2023-03-01T09:00:00,0,151,140,2023,3,1,2,0,0
MED001,Synthetic Vitamin C,Wellness,BR001,Synthetic Branch A,89,4.0,7.5,311.5,2023-04-01,2023-04-01T09:00:00,0,103,90,2023,4,2,5,1,0
MED001,Synthetic Vitamin C,Wellness,BR002,Synthetic Branch B,104,4.1,7.6,364.0,2023-04-01,2023-04-01T09:00:00,0,117,105,2023,4,2,5,1,0
MED002,Synthetic Saline Solution,Care,BR001,Synthetic Branch A,117,4.75,8.75,468.0,2023-04-01,2023-04-01T09:00:00,0,131,123,2023,4,2,5,1,0
MED002,Synthetic Saline Solution,Care,BR002,Synthetic Branch B,132,4.85,8.85,528.0,2023-04-01,2023-04-01T09:00:00,0,145,138,2023,4,2,5,1,0
MED001,Synthetic Vitamin C,Wellness,BR001,Synthetic Branch A,99,4.0,7.5,346.5,2023-05-01,2023-05-01T09:00:00,1,113,89,2023,5,2,0,0,0
MED001,Synthetic Vitamin C,Wellness,BR002,Synthetic Branch B,114,4.1,7.6,399.0,2023-05-01,2023-05-01T09:00:00,1,127,104,2023,5,2,0,0,0
MED002,Synthetic Saline Solution,Care,BR001,Synthetic Branch A,125,4.75,8.75,500.0,2023-05-01,2023-05-01T09:00:00,1,139,117,2023,5,2,0,0,0
MED002,Synthetic Saline Solution,Care,BR002,Synthetic Branch B,140,4.85,8.85,560.0,2023-05-01,2023-05-01T09:00:00,1,153,132,2023,5,2,0,0,0
MED001,Synthetic Vitamin C,Wellness,BR001,Synthetic Branch A,91,4.0,7.5,318.5,2023-06-01,2023-06-01T09:00:00,1,105,99,2023,6,2,3,0,0
MED001,Synthetic Vitamin C,Wellness,BR002,Synthetic Branch B,106,4.1,7.6,371.0,2023-06-01,2023-06-01T09:00:00,1,119,114,2023,6,2,3,0,0
MED002,Synthetic Saline Solution,Care,BR001,Synthetic Branch A,117,4.75,8.75,468.0,2023-06-01,2023-06-01T09:00:00,1,131,125,2023,6,2,3,0,0
MED002,Synthetic Saline Solution,Care,BR002,Synthetic Branch B,132,4.85,8.85,528.0,2023-06-01,2023-06-01T09:00:00,1,145,140,2023,6,2,3,0,0
MED001,Synthetic Vitamin C,Wellness,BR001,Synthetic Branch A,67,4.0,7.5,234.5,2023-07-01,2023-07-01T09:00:00,0,81,91,2023,7,3,5,1,0
MED001,Synthetic Vitamin C,Wellness,BR002,Synthetic Branch B,82,4.1,7.6,287.0,2023-07-01,2023-07-01T09:00:00,0,95,106,2023,7,3,5,1,0
MED002,Synthetic Saline Solution,Care,BR001,Synthetic Branch A,95,4.75,8.75,380.0,2023-07-01,2023-07-01T09:00:00,0,109,117,2023,7,3,5,1,0
MED002,Synthetic Saline Solution,Care,BR002,Synthetic Branch B,110,4.85,8.85,440.0,2023-07-01,2023-07-01T09:00:00,0,123,132,2023,7,3,5,1,0
MED001,Synthetic Vitamin C,Wellness,BR001,Synthetic Branch A,60,4.0,7.5,210.0,2023-08-01,2023-08-01T09:00:00,0,74,67,2023,8,3,1,0,0
MED001,Synthetic Vitamin C,Wellness,BR002,Synthetic Branch B,75,4.1,7.6,262.5,2023-08-01,2023-08-01T09:00:00,0,88,82,2023,8,3,1,0,0
MED002,Synthetic Saline Solution,Care,BR001,Synthetic Branch A,93,4.75,8.75,372.0,2023-08-01,2023-08-01T09:00:00,0,107,95,2023,8,3,1,0,0
